"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"

tk_advance_vehicle_repair.access_vehicle_booking_manager,access_vehicle_booking_manager,tk_advance_vehicle_repair.model_vehicle_booking,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_booking_receptionist,access_vehicle_booking_receptionist,tk_advance_vehicle_repair.model_vehicle_booking,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,0
tk_advance_vehicle_repair.access_vehicle_booking_supervisor,access_vehicle_booking_supervisor,tk_advance_vehicle_repair.model_vehicle_booking,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,0
tk_advance_vehicle_repair.access_vehicle_booking_technician,access_vehicle_booking_technician,tk_advance_vehicle_repair.model_vehicle_booking,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,0

tk_advance_vehicle_repair.access_vehicle_brand_manager,access_vehicle_brand_manager,tk_advance_vehicle_repair.model_vehicle_brand,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_brand_receptionist,access_vehicle_brand_receptionist,tk_advance_vehicle_repair.model_vehicle_brand,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_brand_supervisor,access_vehicle_brand_supervisor,tk_advance_vehicle_repair.model_vehicle_brand,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_brand_technician,access_vehicle_brand_technician,tk_advance_vehicle_repair.model_vehicle_brand,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,1

tk_advance_vehicle_repair.access_vehicle_model_manager,access_vehicle_model_manager,tk_advance_vehicle_repair.model_vehicle_model,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_model_receptionist,access_vehicle_model_receptionist,tk_advance_vehicle_repair.model_vehicle_model,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_model_supervisor,access_vehicle_model_supervisor,tk_advance_vehicle_repair.model_vehicle_model,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_model_technician,access_vehicle_model_technician,tk_advance_vehicle_repair.model_vehicle_model,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,1

tk_advance_vehicle_repair.access_vehicle_fuel_type_manager,access_vehicle_fuel_type_manager,tk_advance_vehicle_repair.model_vehicle_fuel_type,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_fuel_type_receptionist,access_vehicle_fuel_type_receptionist,tk_advance_vehicle_repair.model_vehicle_fuel_type,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_fuel_type_supervisor,access_vehicle_fuel_type_supervisor,tk_advance_vehicle_repair.model_vehicle_fuel_type,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_fuel_type_technician,access_vehicle_fuel_type_technician,tk_advance_vehicle_repair.model_vehicle_fuel_type,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,1

tk_advance_vehicle_repair.access_vehicle_spare_part_manager,access_vehicle_spare_part_manager,tk_advance_vehicle_repair.model_vehicle_spare_part,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_spare_part_receptionist,access_vehicle_spare_part_receptionist,tk_advance_vehicle_repair.model_vehicle_spare_part,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_spare_part_supervisor,access_vehicle_spare_part_supervisor,tk_advance_vehicle_repair.model_vehicle_spare_part,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_spare_part_technician,access_vehicle_spare_part_technician,tk_advance_vehicle_repair.model_vehicle_spare_part,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,1

tk_advance_vehicle_repair.access_inspection_job_card_manager,access_inspection_job_card_manager,tk_advance_vehicle_repair.model_inspection_job_card,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_inspection_job_card_receptionist,access_inspection_job_card_receptionist,tk_advance_vehicle_repair.model_inspection_job_card,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,0
tk_advance_vehicle_repair.access_inspection_job_card_supervisor,access_inspection_job_card_supervisor,tk_advance_vehicle_repair.model_inspection_job_card,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,0
tk_advance_vehicle_repair.access_inspection_job_card_technician,access_inspection_job_card_technician,tk_advance_vehicle_repair.model_inspection_job_card,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,0

tk_advance_vehicle_repair.access_vehicle_condition_location_manager,access_vehicle_condition_location_manager,tk_advance_vehicle_repair.model_vehicle_condition_location,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_condition_location_receptionist,access_vehicle_condition_location_receptionist,tk_advance_vehicle_repair.model_vehicle_condition_location,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_condition_location_supervisor,access_vehicle_condition_location_supervisor,tk_advance_vehicle_repair.model_vehicle_condition_location,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_condition_location_technician,access_vehicle_condition_location_technician,tk_advance_vehicle_repair.model_vehicle_condition_location,tk_advance_vehicle_repair.vehicle_repair_technician,1,1,1,1

tk_advance_vehicle_repair.access_vehicle_condition_manager,access_vehicle_condition_manager,tk_advance_vehicle_repair.model_vehicle_condition,tk_advance_vehicle_repair.vehicle_repair_manager,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_condition_receptionist,access_vehicle_condition_receptionist,tk_advance_vehicle_repair.model_vehicle_condition,tk_advance_vehicle_repair.vehicle_repair_receptionist,1,1,1,1
tk_advance_vehicle_repair.access_vehicle_condition_supervisor,access_vehicle_condition_supervisor,tk_advance_vehicle_repair.model_vehicle_condition,tk_advance_vehicle_repair.vehicle_repair_supervisor,1,1,1,1
